HJD,Ba,Ba_err
2447893.9437,5.6,1.91
2447900.9284,7.2,1.91
2447923.8619,11.3,1.91
2447933.7875,11.7,1.91
2447940.7622,10.1,1.91
2447958.804,6.5,1.91
2447960.7297,7.5,1.91
2447966.8318,11.7,1.91
2447969.6733,14.0,1.91
2447987.6732,11.1,1.91
2447990.6164,13.1,1.91
2447994.6208,11.8,1.91
2447998.6012,15.6,1.91
2447999.6942,16.0,1.91
2448000.6122,14.5,1.91
2448001.6072,12.7,1.91
2448014.5635,13.6,1.91
2448023.5659,17.9,1.91
2448026.5711,16.8,1.91
2448045.6365,20.8,1.91
2448046.6392,19.7,1.91
2448047.6333,17.1,1.91
2448048.6517,20.6,1.91
2448049.6354,17.6,1.91
2448053.6343,17.5,1.91
2448054.6357,19.2,1.91
2448228.9471,4.5,1.91
2448251.919,7.9,1.91
2448252.9045,12.1,1.91
2448257.9475,10.3,1.91
2448260.855,11.9,1.91
2448278.8342,12.4,1.91
2448281.819,10.2,1.91
2448282.8396,11.6,1.91
2448285.0192,13.1,1.91
2448285.8189,14.6,1.91
2448286.9587,13.2,1.91
2448288.0223,13.9,1.91
2448288.8079,16.1,1.91
2448291.8559,14.1,1.91
2448291.8813,13.9,1.91
2448305.7847,10.7,1.91
2448309.8121,11.5,1.91
2448310.7333,16.3,1.91
2448311.7526,10.5,1.91
2448315.7673,15.4,1.91
2448321.7302,16.9,1.91
2448323.7623,10.7,1.91
2448324.7093,15.2,1.91
2448325.6859,12.7,1.91
2448339.7775,16.8,1.91
2448342.8213,19.5,1.91
2448347.8141,17.0,1.91
2448349.7405,18.2,1.91
2448366.7137,19.9,1.91
2448368.7887,21.3,1.91
2448369.5955,19.0,1.91
2448370.726,21.4,1.91
2448372.7574,22.1,1.91
2448378.6776,22.6,1.91
2448380.5698,21.3,1.91
2448397.5699,-20.9,1.91
2448399.6445,-20.0,1.91
2448401.6495,-23.2,1.91
2448404.6283,-21.2,1.91
2448405.56,-18.8,1.91
2448406.6353,-20.7,1.91
2448409.6431,-20.1,1.91
2448411.6566,-15.5,1.91
2448434.6336,-7.7,1.91
2448438.6406,-8.3,1.91
2448605.9678,11.2,1.91
2448614.0576,16.6,1.91
2448617.0121,15.7,1.91
2448621.9233,18.0,1.91
2448635.9564,15.5,1.91
2448638.9767,17.1,1.91
2448646.9575,18.5,1.91
2448648.9547,16.4,1.91
2448669.8766,20.2,1.91
2448672.893,20.6,1.91
2448673.7568,19.5,1.91
2448674.8775,21.1,1.91
2448677.8765,20.8,1.91
2448691.7151,23.7,1.91
2448693.8507,23.7,1.91
2448696.8404,24.2,1.91
2448698.8243,23.5,1.91
2448703.6715,16.0,1.91
2448706.6955,13.0,1.91
2448711.6851,-16.7,1.91
2448727.6448,-14.5,1.91
2448731.6157,-12.3,1.91
2448735.7549,-12.8,1.91
2448740.5657,-8.7,1.91
2448751.6528,-8.1,1.91
2448754.5449,-8.7,1.91
2448754.7028,-6.2,1.91
2448757.6427,-4.2,1.91
2448759.6362,-3.9,1.91
2448763.6799,-8.4,1.91
2448765.565,-4.1,1.91
2448782.6352,0.1,1.91
2448784.6343,1.0,1.91
2448786.635,1.2,1.91
2448791.6353,-0.3,1.91
2448797.6335,-0.9,1.91
2448962.9421,14.6,1.91
2448968.0647,14.1,1.91
2448971.0305,13.2,1.91
2448989.9036,20.0,1.91
2449018.9083,19.5,1.91
2449030.9129,-20.7,1.91
2449033.801,-22.4,1.91
2449045.7667,-13.6,1.91
2449047.7311,-13.2,1.91
2449048.76,-13.0,1.91
2449062.6902,-6.6,1.91
2449062.6902,-4.7,1.91
2449076.7881,-4.6,1.91
2449077.7597,-1.7,1.91
2449078.7308,-4.4,1.91
2449080.7588,-6.8,1.91
2449082.7824,-3.6,1.91
2449083.6513,-6.1,1.91
2449085.6321,-6.8,1.91
2449105.5947,-1.2,1.91
2449106.7237,0.9,1.91
2449107.6213,0.5,1.91
2449109.5699,-0.6,1.91
2449116.5509,0.8,1.91
2449118.6198,1.1,1.91
2449121.557,3.9,1.91
2449125.5798,2.9,1.91
2449140.5679,1.4,1.91
2449144.6294,4.6,1.91
2449146.6457,5.2,1.91
2449345.9228,-23.8,1.91
2449348.0556,-20.7,1.91
2449351.0171,-19.8,1.91
2449362.8508,-13.6,1.91
2449368.861,-11.8,1.91
2449373.8324,-7.9,1.91
2449377.8302,-9.0,1.91
2449385.8003,-8.2,1.91
2449400.7343,-1.8,1.91
2449403.7491,-3.2,1.91
2449413.7196,-1.8,1.91
2449416.7738,-1.8,1.91
2449442.6619,1.8,1.91
2449494.5568,8.9,1.91
